OBJECTID_1,OBJECTID,Site_Name,Kebele,Woreda,Zone,Region,Ownership,Owner_Name,Area,Perimeter,Inter_Type,Species,Interv_YR,Plantin_YR,Slng_Pr_Ha,Survi_Perc,Aver_Hgt_m,Ave_DBH_cm,Rock_Perc,Wetnes_Cla,Stoni_Perc,Soi_Dth_cm,Soil_Textu,SWC_Works,Land_Hazad,Soil_Color,Weed,Illegl_Cut,Grazing,Fire,LC_Class,X_Centroid,Y_Centroid,F3D_area_h,Shape_Leng,Shape_Area
38,38,Lemeja,Alela,Lemo,Hadiya,SNNP,Private,,0.778621,0.4114,A/R,Eucalyptus globulus,2018,2018,2200,88,0,0,0,Moderate,0,100,Silt Loam,Moderate,Nil,Reddish Brown,No,No,No,No,3,368051,832229,0.815245272,0.003725374,6.38E-07
71,71,Linche,Anabelesa,Lemo,Hadiya,SNNP,Private,,0.192856,0.251254,A/R,Eucalyptus camaldulensis,2018,2018,5000,200,0,0,0,Moderate,0,100,Loamy Sand,Slight,Moderate Flood,Black,No,No,No,No,3,381897,838865,0.196633375,0.002276139,1.58E-07
70,70,Linche,Anabelesa,Lemo,Hadiya,SNNP,Private,,0.260492,0.259904,A/R,Eucalyptus camaldulensis,2018,2018,5000,200,0,0,0,Moderate,0,100,Loamy Sand,Slight,Moderate Flood,Black,No,No,No,No,3,381806,838884,0.262652038,0.002353979,2.14E-07
69,69,Linche,Anabelesa,Lemo,Hadiya,SNNP,Private,,0.118874,0.161843,A/R,Eucalyptus camaldulensis,2018,2018,5000,200,0,0,0,Moderate,0,100,Loamy Sand,Slight,Moderate Flood,Black,No,No,No,No,3,381803,838931,0.119131369,0.00146585,9.74E-08
68,68,Linche,Anabelesa,Lemo,Hadiya,SNNP,Private,,0.128657,0.150393,A/R,Eucalyptus camaldulensis,2018,2018,16400,656,0,0,0,Moderate,0,100,Silt Loam,Moderate,Moderate Flood,Red,No,No,No,No,3,380781,838667,0.12925997,0.001361412,1.05E-07
67,67,Linche,Anabelesa,Lemo,Hadiya,SNNP,Private,,0.145534,0.192454,A/R,No Plantation,2018,,0,0,0,0,0,Nil,0,,,,,,,,,,0,381669,838903,0.151169297,0.001743425,1.19E-07
66,66,Linche,Anabelesa,Lemo,Hadiya,SNNP,Private,,0.073768,0.121396,A/R,Eucalyptus camaldulensis,2018,2018,11900,476,0,0,0,Moderate,0,150,Loamy Sand,Nil,Moderate Flood,Dark Brown,Low,No,No,No,2,380790,838644,0.074176996,0.001099597,6.05E-08
65,65,Linche,Anabelesa,Lemo,Hadiya,SNNP,Private,,1.338876,0.516199,A/R,No Plantation,2018,,0,0,0,0,0,Nil,0,,,,,,,,,,0,382001,838827,1.40884493,0.004674345,1.10E-06
64,64,Linche,Anabelesa,Lemo,Hadiya,SNNP,Private,,0.065418,0.103916,A/R,Eucalyptus camaldulensis,2018,2018,8400,336,0,0,0,Moderate,0,150,Silt Loam,Nil,Nil,Reddish Brown,Low,No,Low,No,2,380843,838753,0.065482424,0.000940698,5.36E-08
57,57,Linche,Anabelesa,Lemo,Hadiya,SNNP,Private,,0.385564,0.392887,A/R,Eucalyptus camaldulensis,2018,2018,4200,168,0,0,0,Moderate,0,150,Light Clay,Nil,Moderate,Red,No,No,No,No,2,381545,838886,0.395539329,0.003559608,3.16E-07
56,56,Linche,Anabelesa,Lemo,Hadiya,SNNP,Private,,0.234715,0.195392,A/R,Eucalyptus saligna,2018,2018,9800,392,0,0,0,Nil,0,150,Silt Loam,Nil,Nil,Dark Brown,No,No,No,No,2,381705,838242,0.239936568,0.001769075,1.92E-07
55,55,Linche,Anabelesa,Lemo,Hadiya,SNNP,Private,,0.356288,0.331353,A/R,Eucalyptus saligna,2018,2018,11600,464,0,0,0,Moderate,0,150,Silt Loam,Moderate,Moderate,Reddish Brown,No,No,No,No,2,381940,838385,0.359591842,0.003000402,2.92E-07
12,12,Mino and Achamincha,Gora Tume,Lemo,Hadiya,SNNP,Communal,,74.572235,6.794867,A/R,"Eucalyptus saligna, Eucalyptus globulus",2018,2018,2200,88,0,0,0 to 25,Moderate,10 to 30,75 to 100,"Sandy Loam, Clay Loam",Nil to Very Much,Slight,Reddish Brown,No to Low (Low),No to Low (Major),No,No,3,370341,837261,76.96207403,0.061511456,6.11E-05
123,123,Moramo,Tach Kode,Lemo,Hadiya,SNNP,Private,,1.064055,0.508212,A/R,No Plantation,2017,,0,0,0,0,0,Nil,0,,,,,,,,,,0,377229,828269,1.096662851,0.00460324,8.72E-07
10,10,Osoya,Digiba,Lemo,Hadiya,SNNP,Communal,,12.450987,1.79061,A/R,"Eucalyptus globulus, Acacia decurrens, Eucalyptus camaldulensis","2017, 2018","2017, 2018",1600,64,0,0,0,Moderate,0,85 to 90,Silt Loam,Slight to Moderate,Slight,Reddish Brown,No,No,Low,No,3,363109,830064,12.92923081,0.016214493,1.02E-05
105,105,Qussa,Qalisha,Lemo,Hadiya,SNNP,Private,,0.287437,0.284058,A/R,Eucalyptus globulus,2018,2018,4800,192,0,0,0,Moderate,0,100,Sandy Loam,Nil,Slight,,Low,No,Medium,No,3,375542,836927,0.323692985,0.002572591,2.36E-07
104,104,Qussa,Qalisha,Lemo,Hadiya,SNNP,Private,,0.051688,0.088949,A/R,Eucalyptus camaldulensis,2017,2017,7400,296,0,0,0,Moderate,0,150,Sandy Loam,Nil,Nil,,No,No,No,No,2,375601,836929,0.055610924,0.000805252,4.24E-08
103,103,Qussa,Qalisha,Lemo,Hadiya,SNNP,Private,,1.747251,0.669273,A/R,Eucalyptus globulus,2017,2017,2400,96,0,0,0,Moderate,0,100,Sandy Loam,Nil,Nil,,No,No,Low,No,3,375633,836225,1.829596629,0.006060837,1.43E-06
102,102,Qussa,Qalisha,Lemo,Hadiya,SNNP,Private,,0.417275,0.267301,A/R,Eucalyptus globulus,2018,2018,3600,144,0,0,0,Moderate,0,150,Sandy Loam,Nil,Nil,,No,No,Medium,No,2,375705,836160,0.441782092,0.002419908,3.42E-07
101,101,Qussa,Qalisha,Lemo,Hadiya,SNNP,Private,,0.212945,0.233603,A/R,Eucalyptus globulus,2018,2016,7900,316,0,0,0,Moderate,0,98,Sandy Loam,Nil,Slight Erosion,,No,No,Low,No,3,375746,836117,0.219303077,0.002114573,1.75E-07
100,100,Qussa,Qalisha,Lemo,Hadiya,SNNP,Private,,0.259804,0.259642,A/R,Eucalyptus globulus,2018,2018,3100,124,0,0,0,Slight,0,100,Sandy Loam,Nil,Slight Erosion,,No,No,Medium,No,3,375820,836107,0.263884837,0.00235122,2.13E-07
99,99,Qussa,Qalisha,Lemo,Hadiya,SNNP,Private,,0.178275,0.167023,A/R,Eucalyptus globulus,2018,2018,5200,208,0,0,0,Nil,0,,,,,,,,,,0,375716,836083,0.184039863,0.001512367,1.46E-07
98,98,Qussa,Qalisha,Lemo,Hadiya,SNNP,Private,,0.687573,0.361132,A/R,Eucalyptus globulus,2018,2017,6200,248,0,0,0,Moderate,0,110,Silt Loam,Nil,Slight Erosion,,No,No,No,No,2,375775,836007,0.698215536,0.003270915,5.64E-07
82,82,Sale Dekeye,Jewe,Lemo,Hadiya,SNNP,Private,,0.193216,0.240819,A/R,Grevillea robusta,2018,2018,1000,40,0,0,0,Moderate,0,100,Sandy Loam,Nil,Slight,Black,No,No,No,No,3,367288,830854,0.196270063,0.002178819,1.58E-07
17,17,Sale Dekeye,Jewe,Lemo,Hadiya,SNNP,Private,,1.606466,0.785223,A/R,Eucalyptus camaldulensis,2018,2018,1500,60,0,0,0,Moderate,0,150,Silt Loam,Nil,Nil,Black,No,No,No,No,2,367325,829434,1.639389286,0.007105212,1.32E-06
22,22,Sembate,Lisana Ketema,Lemo,Hadiya,SNNP,Communal,,1.083004,0.605714,A/R,Eucalyptus globulus,"2016, 2017","2016, 2017",1900,76,0,0,0,Moderate,0 to 6,100 to 135,"Silloam, Clay Loam",Nil to Very Much,Nil to Slight Flood,Dark Brown,No,No,Low,No,2,382957,830304,1.126578114,0.005484163,8.88E-07
21,21,Sembate,Lisana Ketema,Lemo,Hadiya,SNNP,Communal,,18.829617,1.87491,A/R,"Cupressus lusitanica, Eucalyptus camaldulensis","2016, 2017","2016, 2017",2100,84,0,0,0,Moderate,0 to 25,100 to 150,"Sandy Loam, Silt Loam",Nil,Slight Flood,"Reddish Brown, Brown",No to Low and Dense,No,No,No,3,383935,830262,19.19933957,0.016971379,1.54E-05
26,26,Sengita,Lisana Qusa,Lemo,Hadiya,SNNP,Communal,,9.035317,1.337947,A/R,Eucalyptus camaldulensis,2016,2016,2000,80,0,0,0,Slight,0,110 to 120,Silt Loam,Nil,Nil to Moderate,Light Brown,No,No,No,No,3,377819,825593,9.256846436,0.012112419,7.40E-06
72,72,Shubucho,Ashe Kubayega,Lemo,Hadiya,SNNP,Private,,0.801237,0.533172,A/R,Eucalyptus globulus,2018,2018,2500,100,0,0,20,Moderate,0,20,Silty Loam,Nil,Moderate Erosion,Reddish Brown,No,No,No,No,6,364933,831250,0.817540452,0.004826345,6.57E-07
125,125,Shubucho,Ashe Kubayega,Lemo,Hadiya,SNNP,Private,,7.350721,1.339905,A/R,Eucalyptus globulus,2018,2018,2500,100,0,0,13,Moderate,0,20,Silty Loam,Nil,Moderate Erosion,Reddish Brown,No,No,No,No,6,365028,831175,7.551682787,0.012129349,6.02E-06
2,2,Simbate,Ajo Taisa,Lemo,Hadiya,SNNP,Communal,,176.527584,8.8893,A/R,Eucalyptus globulus,2016-2018,2016-2018,1900,76,0,0,0,Moderate,0 (Major) to 5,90 to 150 (Major),"Sandy Loam, Silt Loam (Major), Clay Loam",Nil to Minor Slight,Nil,"Dark Brown, Black",No,No,No,No,3,384039,831924,182.0848178,0.080450304,0.000144693
3,3,Taisa,Ajo Taisa,Lemo,Hadiya,SNNP,Communal,,24.710048,2.579863,A/R,Eucalyptus globulus,2016,2016,1700,68,0,0,0,Moderate,10 to 20,95,Silt Loam,Nil,Nil,"Reddish Brown, Brown",No,No,No,No,3,383553,832334,25.54910438,0.02335074,2.03E-05
11,11,Tume,Gora Tume,Lemo,Hadiya,SNNP,Communal,,22.137142,3.167621,A/R,"Eucalyptus globulus, Acacia decurrens",2018,2018,1900,76,0,0,0,Slight to Moderate,0,90 to 130,Sandy Loam,Nil,Slight to Moderate,"Reddish Brown, Brown",No to Low,Medium,High,Low,3,370812,838862,22.7396635,0.028678402,1.81E-05
111,111,Tumido,Semen Belesa,Lemo,Hadiya,SNNP,Private,,1.206643,0.586235,A/R,Eucalyptus saligna,2018,2018,6000,240,0,0,0,Moderate,0,50,Loam,Nil,Moderateflood,Red,No,No,No,No,4,381875,841455,1.273816641,0.00531022,9.89E-07
110,110,Tumido,Semen Belesa,Lemo,Hadiya,SNNP,Private,,0.187786,0.206681,A/R,Eucalyptus saligna,2018,2018,6000,240,0,0,0,Moderate,0,50,Loam,Nil,Moderateflood,Red,No,No,No,No,4,381991,841284,0.207572885,0.001871097,1.54E-07
109,109,Tumido,Semen Belesa,Lemo,Hadiya,SNNP,Private,,0.06522,0.106217,A/R,Eucalyptus saligna,2018,2018,10200,408,0,0,2,Slight,20,60,Loamy Sand,Nil,Slight Erosion,Red,Low,No,No,No,3,382038,841127,0.066909109,0.000961666,5.35E-08
108,108,Tumido,Semen Belesa,Lemo,Hadiya,SNNP,Private,,0.09054,0.139417,A/R,Eucalyptus camaldulensis,2018,2018,6400,256,0,0,0,Moderate,0,150,Loam,Nil,Nil,Black,Medium,No,No,No,2,380874,840769,0.091703917,0.001261518,7.42E-08
124,124,Tumido,Semen Belesa,Lemo,Hadiya,SNNP,Private,,3.095933,0.74147,A/R,Cupressus lusitanica,2018,2018,2200,88,0,0,0,Moderate,0,150,Silt,Nil,Nil,Reddish Brown,No,No,No,No,2,381078,841525,3.131409112,0.006714188,2.54E-06
97,97,Unfuri,Omoshora,Lemo,Hadiya,SNNP,Private,,4.086848,0.945094,A/R,Eucalyptus globulus,2018,2018,4500,180,0,0,0,Moderate,0,80 to 100,Clay Loam,Nil,Slight Flood,,No,No,No to High,No,3,367672,822097,4.156670125,0.008557821,3.35E-06
37,37,Washo'o,Ajo Taisa,Lemo,Hadiya,SNNP,Private,,0.578622,0.3583,A/R,Eucalyptus camaldulensis,2018,2018,2300,92,0,0,0,Moderate,0,145,Silt Loam,Slight,Nil,Dark Brown,No,No,No,No,2,383358,832431,0.59658371,0.003244716,4.74E-07
36,36,Washo'o,Ajo Taisa,Lemo,Hadiya,SNNP,Private,,0.7802,0.373521,A/R,Eucalyptus globulus,2018,2018,2500,100,0,0,0,Moderate,0,150,Silt Loam,Nil,Nil,Dark Brown,No,No,No,No,1,383201,832147,0.804051175,0.00338174,6.39E-07
35,35,Washo'o,Ajo Taisa,Lemo,Hadiya,SNNP,Private,,0.131523,0.186113,A/R,Eucalyptus saligna,2018,2018,2400,96,0,0,0,Moderate,0,100,Silt Loam,Moderate,Nil,Reddish Brown,No,No,No,No,2,383259,832030,0.133836569,0.001684779,1.08E-07
