OBJECTID_1,OBJECTID,Site_Name,Kebele,Woreda,Zone,Region,Ownership,Owner_Name,Area,Perimeter,Inter_Type,Species,Interv_YR,Plantin_YR,Slng_Pr_Ha,Survi_Perc,Aver_Hgt_m,Ave_DBH_cm,Rock_Perc,Wetnes_Cla,Stoni_Perc,Soi_Dth_cm,Soil_Textu,SWC_Works,Land_Hazad,Soil_Color,Weed,Illegl_Cut,Grazing,Fire,LC_Class,X_Centroid,Y_Centroid,F3D_area_h,Shape_Leng,Shape_Area
25,25,Dishamo,Lisana Qusa,Lemo,Hadiya,SNNP,Communal,,2.10456,0.857966,A/R,Eucalyptus camaldulensis,2016,2016,2000,80,0,0,0,Slight,0,110 to 125,Clay Loam,Moderate,Slight,Brown,No,No,No,No,3,380072,823514,2.184080951,0.007764694,1.72E-06
90,90,Doro,Lisana Ketema,Lemo,Hadiya,SNNP,Private,,0.152009,0.168555,A/R,No Plantation,"2017, 2018",,0,0,0,0,0,Nil,0,,,,,,,,,,0,382870,830195,0.153649806,0.001526572,1.25E-07
89,89,Doro,Lisana Ketema,Lemo,Hadiya,SNNP,Private,,0.138083,0.160124,A/R,No Plantation,"2016, 2017",,0,0,0,0,0,Nil,0,,,,,,,,,,0,382865,830225,0.142607704,0.00145011,1.13E-07
85,85,Doro,Lay Kode,Lemo,Hadiya,SNNP,Private,,0.135389,0.146895,A/R,Eucalyptus camaldulensis,"2017, 2018",2018,11300,452,0,0,0,Moderate,0,150,Silt Loam,Nil,Nil,Black,No,No,No,No,2,383079,829624,0.135964569,0.001329604,1.11E-07
84,84,Doro,Lay Kode,Lemo,Hadiya,SNNP,Private,,0.279296,0.209689,A/R,Eucalyptus camaldulensis,"2017, 2018",2018,11300,452,0,0,0,Moderate,0,150,Silt Loam,Nil,Nil,Black,No,No,No,No,2,383139,829449,0.289258987,0.001898455,2.29E-07
23,23,Doro,Lisana Ketema,Lemo,Hadiya,SNNP,Communal,,1.324456,0.621682,A/R,No Plantation,2018,,0,0,0,0,,Nil,0,0,0,0,,,,,,,0,383129,830002,1.434792262,0.005626511,1.09E-06
28,28,Doyancho,Lisana Sena,Lemo,Hadiya,SNNP,Communal,,102.284547,4.856079,A/R,"Grevillea robusta, Cupressus lusitanica, Eucalyptus camaldulensis","2016, 2017","2016, 2017",2100,84,0,0,0,Nil (Major) to Slight,0,100 (Major) to 150,"Loamy Sand, Silt Loam, Loam",Nil,Slight to Moderate,Dark Brown,No to Low,No,No,No,2,383449,833555,105.5245849,0.043953277,8.38E-05
80,80,Dubancho,Debub Belesa,Lemo,Hadiya,SNNP,Private,,3.079313,0.668013,A/R,Eucalyptus saligna,2018,2018,4800,192,0,0,0,Nil,0,150,Silt Loam,Moderate,Moderate,Reddish Brown,No,No,No,No,2,377821,840614,3.150840817,0.006047966,2.52E-06
79,79,Dubancho,Debub Belesa,Lemo,Hadiya,SNNP,Private,,1.065632,0.409664,A/R,Eucalyptus saligna,2018,2018,4800,192,0,0,0,Nil,0,150,Silt Loam,Moderate,Moderate,Reddish Brown,No,No,No,No,2,378568,839820,1.093179438,0.00370934,8.74E-07
112,112,Egade Bobicho,Semen Belesa,Lemo,Hadiya,SNNP,Private,,0.260243,0.235913,A/R,"Eucalyptus globulus, Eucalyptus camaldulensis",2018,2018,11000,440,0,0,5,Slight,30,60,Sandy,Nil,Nil,Reddish Brown,Medium,No,No,No,3,380457,841444,0.275679073,0.002135289,2.13E-07
114,114,Egade Bobicho,Semen Belesa,Lemo,Hadiya,SNNP,Private,,0.661343,0.32683,A/R,No Plantation,2018,,0,0,0,0,0,Nil,0,,,,,,,,,,0,380471,841561,0.679742434,0.002958494,5.42E-07
113,113,Egade Bobicho,Semen Belesa,Lemo,Hadiya,SNNP,Private,,0.279811,0.24525,A/R,Eucalyptus globulus,2018,2018,3300,132,0,0,0,Moderate,0,150,Siltloam,Nil,Nil,Reddish Brown,Medium,No,No,No,2,380504,841525,0.304303714,0.002220045,2.29E-07
96,96,Endayoso,Lisana Sena,Lemo,Hadiya,SNNP,Private,,0.731054,0.359453,A/R,Eucalyptus camaldulensis,2018,2018,9600,384,0,0,0,Moderate,0,100,Silt Clay,Nil,Nil,,No,No,No,No,3,380168,835378,0.746278567,0.003253154,5.99E-07
94,94,Erero,Lisana Qusa,Lemo,Hadiya,SNNP,Private,,0.205495,0.20766,A/R,Eucalyptus camaldulensis,2016,2016,5600,224,0,0,0,Nil,0,130,Silt Loam,Nil,Nil,Black,No,No,No,No,3,379015,825124,0.207248523,0.001878935,1.68E-07
93,93,Erero,Lisana Qusa,Lemo,Hadiya,SNNP,Private,,0.74372,0.411016,A/R,Eucalyptus camaldulensis,2018,2018,5000,200,0,0,0,Slight,0,130,Silt Loam,Nil,Nil,Light Brown,No,No,No,No,3,379021,824829,0.755421409,0.003718981,6.09E-07
92,92,Erero,Lisana Qusa,Lemo,Hadiya,SNNP,Private,,0.142198,0.164423,A/R,"Cupressus lusitanica (Major), Azadirachta indica",2016,2017,1600,64,0,0,0,Slight,0,150,Silt Loam,Nil,Nil,Dark Brown,No,No,No,No,2,379551,824497,0.145295895,0.001489043,1.17E-07
107,107,Gabo,Semen Belesa,Lemo,Hadiya,SNNP,Private,,0.152472,0.189918,A/R,Eucalyptus camaldulensis,2018,2018,7600,304,0,0,0,Slight,0,100,Loam,Nil,Nil,Reddish Brown,No,No,No,No,3,381218,840114,0.159335638,0.001720033,1.25E-07
